x   y   z   z_sp   dzdx   dzdx_sp   dzdy   dzdy_sp
-5.000000e+00   -6.000000e+00   2.115131e-19   2.115131e-19   2.115131e-18   2.115262e-18   6.345393e-19   6.345394e-19
-5.000000e+00   -5.998999e+00   2.121492e-19   2.121492e-19   2.121492e-18   2.121623e-18   6.364477e-19   6.364477e-19
-5.000000e+00   -5.997998e+00   2.127873e-19   2.127873e-19   2.127873e-18   2.128004e-18   6.383618e-19   6.383618e-19
-5.000000e+00   -5.996997e+00   2.134272e-19   2.134272e-19   2.134272e-18   2.134404e-18   6.402817e-19   6.402817e-19
-5.000000e+00   -5.995996e+00   2.140691e-19   2.140691e-19   2.140691e-18   2.140823e-18   6.422074e-19   6.422073e-19
-5.000000e+00   -5.994995e+00   2.147129e-19   2.147129e-19   2.147129e-18   2.147262e-18   6.441388e-19   6.441388e-19
-5.000000e+00   -5.993994e+00   2.153587e-19   2.153587e-19   2.153587e-18   2.153720e-18   6.460761e-19   6.460761e-19
-5.000000e+00   -5.992993e+00   2.160064e-19   2.160064e-19   2.160064e-18   2.160197e-18   6.480192e-19   6.480192e-19
-5.000000e+00   -5.991992e+00   2.166560e-19   2.166560e-19   2.166560e-18   2.166694e-18   6.499681e-19   6.499681e-19
-5.000000e+00   -5.990991e+00   2.173076e-19   2.173076e-19   2.173076e-18   2.173210e-18   6.519229e-19   6.519229e-19
-5.000000e+00   -5.989990e+00   2.179612e-19   2.179612e-19   2.179612e-18   2.179746e-18   6.538835e-19   6.538835e-19
-5.000000e+00   -5.988989e+00   2.186167e-19   2.186167e-19   2.186167e-18   2.186302e-18   6.558501e-19   6.558501e-19
-5.000000e+00   -5.987988e+00   2.192742e-19   2.192742e-19   2.192742e-18   2.192877e-18   6.578226e-19   6.578226e-19
-5.000000e+00   -5.986987e+00   2.199337e-19   2.199337e-19   2.199337e-18   2.199472e-18   6.598010e-19   6.598010e-19
-5.000000e+00   -5.985986e+00   2.205951e-19   2.205951e-19   2.205951e-18   2.206087e-18   6.617854e-19   6.617854e-19
-5.000000e+00   -5.984985e+00   2.212586e-19   2.212586e-19   2.212586e-18   2.212722e-18   6.637757e-19   6.637757e-19
-5.000000e+00   -5.983984e+00   2.219240e-19   2.219240e-19   2.219240e-18   2.219377e-18   6.657720e-19   6.657720e-19
-5.000000e+00   -5.982983e+00   2.225914e-19   2.225914e-19   2.225914e-18   2.226052e-18   6.677743e-19   6.677743e-19
-5.000000e+00   -5.981982e+00   2.232609e-19   2.232609e-19   2.232609e-18   2.232747e-18   6.697827e-19   6.697827e-19
