x   y   y_sp   dydx   dydx_sp
0.000000e+00   1.000000e+00   1.000000e+00   0.000000e+00   2.111295e-14
8.008008e-03   1.000192e+00   1.000192e+00   4.804805e-02   4.804805e-02
1.601602e-02   1.000770e+00   1.000770e+00   9.609610e-02   9.609610e-02
2.402402e-02   1.001731e+00   1.001731e+00   1.441441e-01   1.441441e-01
3.203203e-02   1.003078e+00   1.003078e+00   1.921922e-01   1.921922e-01
4.004004e-02   1.004810e+00   1.004810e+00   2.402402e-01   2.402402e-01
4.804805e-02   1.006926e+00   1.006926e+00   2.882883e-01   2.882883e-01
5.605606e-02   1.009427e+00   1.009427e+00   3.363363e-01   3.363363e-01
6.406406e-02   1.012313e+00   1.012313e+00   3.843844e-01   3.843844e-01
7.207207e-02   1.015583e+00   1.015583e+00   4.324324e-01   4.324324e-01
8.008008e-02   1.019238e+00   1.019238e+00   4.804805e-01   4.804805e-01
8.808809e-02   1.023279e+00   1.023279e+00   5.285285e-01   5.285285e-01
9.609610e-02   1.027703e+00   1.027703e+00   5.765766e-01   5.765766e-01
1.041041e-01   1.032513e+00   1.032513e+00   6.246246e-01   6.246246e-01
1.121121e-01   1.037707e+00   1.037707e+00   6.726727e-01   6.726727e-01
1.201201e-01   1.043287e+00   1.043287e+00   7.207207e-01   7.207207e-01
1.281281e-01   1.049250e+00   1.049250e+00   7.687688e-01   7.687688e-01
1.361361e-01   1.055599e+00   1.055599e+00   8.168168e-01   8.168168e-01
1.441441e-01   1.062333e+00   1.062333e+00   8.648649e-01   8.648649e-01
1.521522e-01   1.069451e+00   1.069451e+00   9.129129e-01   9.129129e-01
1.601602e-01   1.076954e+00   1.076954e+00   9.609610e-01   9.609610e-01
1.681682e-01   1.084842e+00   1.084842e+00   1.009009e+00   1.009009e+00
1.761762e-01   1.093114e+00   1.093114e+00   1.057057e+00   1.057057e+00
1.841842e-01   1.101771e+00   1.101771e+00   1.105105e+00   1.105105e+00
1.921922e-01   1.110814e+00   1.110814e+00   1.153153e+00   1.153153e+00
2.002002e-01   1.120240e+00   1.120240e+00   1.201201e+00   1.201201e+00
2.082082e-01   1.130052e+00   1.130052e+00   1.249249e+00   1.249249e+00
2.162162e-01   1.140248e+00   1.140248e+00   1.297297e+00   1.297297e+00
2.242242e-01   1.150830e+00   1.150830e+00   1.345345e+00   1.345345e+00
2.322322e-01   1.161795e+00   1.161795e+00   1.393393e+00   1.393393e+00
2.402402e-01   1.173146e+00   1.173146e+00   1.441441e+00   1.441441e+00
2.482482e-01   1.184882e+00   1.184882e+00   1.489489e+00   1.489489e+00
2.562563e-01   1.197002e+00   1.197002e+00   1.537538e+00   1.537538e+00
2.642643e-01   1.209507e+00   1.209507e+00   1.585586e+00   1.585586e+00
2.722723e-01   1.222397e+00   1.222397e+00   1.633634e+00   1.633634e+00
2.802803e-01   1.235671e+00   1.235671e+00   1.681682e+00   1.681682e+00
2.882883e-01   1.249330e+00   1.249330e+00   1.729730e+00   1.729730e+00
2.962963e-01   1.263374e+00   1.263374e+00   1.777778e+00   1.777778e+00
3.043043e-01   1.277803e+00   1.277803e+00   1.825826e+00   1.825826e+00
3.123123e-01   1.292617e+00   1.292617e+00   1.873874e+00   1.873874e+00
3.203203e-01   1.307815e+00   1.307815e+00   1.921922e+00   1.921922e+00
3.283283e-01   1.323398e+00   1.323398e+00   1.969970e+00   1.969970e+00
3.363363e-01   1.339366e+00   1.339366e+00   2.018018e+00   2.018018e+00
3.443443e-01   1.355719e+00   1.355719e+00   2.066066e+00   2.066066e+00
3.523524e-01   1.372457e+00   1.372457e+00   2.114114e+00   2.114114e+00
3.603604e-01   1.389579e+00   1.389579e+00   2.162162e+00   2.162162e+00
3.683684e-01   1.407086e+00   1.407086e+00   2.210210e+00   2.210210e+00
3.763764e-01   1.424978e+00   1.424978e+00   2.258258e+00   2.258258e+00
3.843844e-01   1.443254e+00   1.443254e+00   2.306306e+00   2.306306e+00
3.923924e-01   1.461915e+00   1.461915e+00   2.354354e+00   2.354354e+00
4.004004e-01   1.480961e+00   1.480961e+00   2.402402e+00   2.402402e+00
4.084084e-01   1.500392e+00   1.500392e+00   2.450450e+00   2.450450e+00
4.164164e-01   1.520208e+00   1.520208e+00   2.498498e+00   2.498498e+00
4.244244e-01   1.540408e+00   1.540408e+00   2.546547e+00   2.546547e+00
4.324324e-01   1.560993e+00   1.560993e+00   2.594595e+00   2.594595e+00
4.404404e-01   1.581963e+00   1.581963e+00   2.642643e+00   2.642643e+00
4.484484e-01   1.603318e+00   1.603318e+00   2.690691e+00   2.690691e+00
4.564565e-01   1.625057e+00   1.625057e+00   2.738739e+00   2.738739e+00
4.644645e-01   1.647182e+00   1.647182e+00   2.786787e+00   2.786787e+00
4.724725e-01   1.669691e+00   1.669691e+00   2.834835e+00   2.834835e+00
4.804805e-01   1.692584e+00   1.692584e+00   2.882883e+00   2.882883e+00
4.884885e-01   1.715863e+00   1.715863e+00   2.930931e+00   2.930931e+00
4.964965e-01   1.739526e+00   1.739526e+00   2.978979e+00   2.978979e+00
5.045045e-01   1.763574e+00   1.763574e+00   3.027027e+00   3.027027e+00
5.125125e-01   1.788007e+00   1.788007e+00   3.075075e+00   3.075075e+00
5.205205e-01   1.812825e+00   1.812825e+00   3.123123e+00   3.123123e+00
5.285285e-01   1.838027e+00   1.838027e+00   3.171171e+00   3.171171e+00
5.365365e-01   1.863614e+00   1.863614e+00   3.219219e+00   3.219219e+00
5.445445e-01   1.889586e+00   1.889586e+00   3.267267e+00   3.267267e+00
5.525526e-01   1.915943e+00   1.915943e+00   3.315315e+00   3.315315e+00
5.605606e-01   1.942684e+00   1.942684e+00   3.363363e+00   3.363363e+00
5.685686e-01   1.969811e+00   1.969811e+00   3.411411e+00   3.411411e+00
5.765766e-01   1.997322e+00   1.997322e+00   3.459459e+00   3.459459e+00
5.845846e-01   2.025217e+00   2.025217e+00   3.507508e+00   3.507508e+00
5.925926e-01   2.053498e+00   2.053498e+00   3.555556e+00   3.555556e+00
6.006006e-01   2.082163e+00   2.082163e+00   3.603604e+00   3.603604e+00
6.086086e-01   2.111213e+00   2.111213e+00   3.651652e+00   3.651652e+00
6.166166e-01   2.140648e+00   2.140648e+00   3.699700e+00   3.699700e+00
6.246246e-01   2.170468e+00   2.170468e+00   3.747748e+00   3.747748e+00
6.326326e-01   2.200672e+00   2.200672e+00   3.795796e+00   3.795796e+00
6.406406e-01   2.231261e+00   2.231261e+00   3.843844e+00   3.843844e+00
6.486486e-01   2.262235e+00   2.262235e+00   3.891892e+00   3.891892e+00
6.566567e-01   2.293594e+00   2.293594e+00   3.939940e+00   3.939940e+00
6.646647e-01   2.325337e+00   2.325337e+00   3.987988e+00   3.987988e+00
6.726727e-01   2.357466e+00   2.357466e+00   4.036036e+00   4.036036e+00
6.806807e-01   2.389979e+00   2.389979e+00   4.084084e+00   4.084084e+00
6.886887e-01   2.422876e+00   2.422876e+00   4.132132e+00   4.132132e+00
6.966967e-01   2.456159e+00   2.456159e+00   4.180180e+00   4.180180e+00
7.047047e-01   2.489826e+00   2.489826e+00   4.228228e+00   4.228228e+00
7.127127e-01   2.523878e+00   2.523878e+00   4.276276e+00   4.276276e+00
7.207207e-01   2.558315e+00   2.558315e+00   4.324324e+00   4.324324e+00
7.287287e-01   2.593137e+00   2.593137e+00   4.372372e+00   4.372372e+00
7.367367e-01   2.628343e+00   2.628343e+00   4.420420e+00   4.420420e+00
7.447447e-01   2.663934e+00   2.663934e+00   4.468468e+00   4.468468e+00
7.527528e-01   2.699910e+00   2.699910e+00   4.516517e+00   4.516517e+00
7.607608e-01   2.736271e+00   2.736271e+00   4.564565e+00   4.564565e+00
7.687688e-01   2.773016e+00   2.773016e+00   4.612613e+00   4.612613e+00
7.767768e-01   2.810146e+00   2.810146e+00   4.660661e+00   4.660661e+00
7.847848e-01   2.847661e+00   2.847661e+00   4.708709e+00   4.708709e+00
7.927928e-01   2.885561e+00   2.885561e+00   4.756757e+00   4.756757e+00
8.008008e-01   2.923846e+00   2.923846e+00   4.804805e+00   4.804805e+00
8.088088e-01   2.962515e+00   2.962515e+00   4.852853e+00   4.852853e+00
8.168168e-01   3.001569e+00   3.001569e+00   4.900901e+00   4.900901e+00
8.248248e-01   3.041008e+00   3.041008e+00   4.948949e+00   4.948949e+00
8.328328e-01   3.080832e+00   3.080832e+00   4.996997e+00   4.996997e+00
8.408408e-01   3.121040e+00   3.121040e+00   5.045045e+00   5.045045e+00
8.488488e-01   3.161633e+00   3.161633e+00   5.093093e+00   5.093093e+00
8.568569e-01   3.202611e+00   3.202611e+00   5.141141e+00   5.141141e+00
8.648649e-01   3.243974e+00   3.243974e+00   5.189189e+00   5.189189e+00
8.728729e-01   3.285721e+00   3.285721e+00   5.237237e+00   5.237237e+00
8.808809e-01   3.327853e+00   3.327853e+00   5.285285e+00   5.285285e+00
8.888889e-01   3.370370e+00   3.370370e+00   5.333333e+00   5.333333e+00
8.968969e-01   3.413272e+00   3.413272e+00   5.381381e+00   5.381381e+00
9.049049e-01   3.456559e+00   3.456559e+00   5.429429e+00   5.429429e+00
9.129129e-01   3.500230e+00   3.500230e+00   5.477477e+00   5.477477e+00
9.209209e-01   3.544286e+00   3.544286e+00   5.525526e+00   5.525526e+00
9.289289e-01   3.588727e+00   3.588727e+00   5.573574e+00   5.573574e+00
9.369369e-01   3.633552e+00   3.633552e+00   5.621622e+00   5.621622e+00
9.449449e-01   3.678763e+00   3.678763e+00   5.669670e+00   5.669670e+00
9.529530e-01   3.724358e+00   3.724358e+00   5.717718e+00   5.717718e+00
9.609610e-01   3.770338e+00   3.770338e+00   5.765766e+00   5.765766e+00
9.689690e-01   3.816703e+00   3.816703e+00   5.813814e+00   5.813814e+00
9.769770e-01   3.863452e+00   3.863452e+00   5.861862e+00   5.861862e+00
9.849850e-01   3.910586e+00   3.910586e+00   5.909910e+00   5.909910e+00
9.929930e-01   3.958105e+00   3.958105e+00   5.957958e+00   5.957958e+00
1.001001e+00   4.006009e+00   4.006009e+00   6.006006e+00   6.006006e+00
1.009009e+00   4.054298e+00   4.054298e+00   6.054054e+00   6.054054e+00
1.017017e+00   4.102971e+00   4.102971e+00   6.102102e+00   6.102102e+00
1.025025e+00   4.152029e+00   4.152029e+00   6.150150e+00   6.150150e+00
1.033033e+00   4.201472e+00   4.201472e+00   6.198198e+00   6.198198e+00
1.041041e+00   4.251299e+00   4.251299e+00   6.246246e+00   6.246246e+00
1.049049e+00   4.301512e+00   4.301512e+00   6.294294e+00   6.294294e+00
1.057057e+00   4.352109e+00   4.352109e+00   6.342342e+00   6.342342e+00
1.065065e+00   4.403091e+00   4.403091e+00   6.390390e+00   6.390390e+00
1.073073e+00   4.454457e+00   4.454457e+00   6.438438e+00   6.438438e+00
1.081081e+00   4.506209e+00   4.506209e+00   6.486486e+00   6.486486e+00
1.089089e+00   4.558345e+00   4.558345e+00   6.534535e+00   6.534535e+00
1.097097e+00   4.610866e+00   4.610866e+00   6.582583e+00   6.582583e+00
1.105105e+00   4.663772e+00   4.663772e+00   6.630631e+00   6.630631e+00
1.113113e+00   4.717062e+00   4.717062e+00   6.678679e+00   6.678679e+00
1.121121e+00   4.770738e+00   4.770738e+00   6.726727e+00   6.726727e+00
1.129129e+00   4.824798e+00   4.824798e+00   6.774775e+00   6.774775e+00
1.137137e+00   4.879243e+00   4.879243e+00   6.822823e+00   6.822823e+00
1.145145e+00   4.934072e+00   4.934072e+00   6.870871e+00   6.870871e+00
1.153153e+00   4.989287e+00   4.989287e+00   6.918919e+00   6.918919e+00
1.161161e+00   5.044886e+00   5.044886e+00   6.966967e+00   6.966967e+00
1.169169e+00   5.100870e+00   5.100870e+00   7.015015e+00   7.015015e+00
1.177177e+00   5.157238e+00   5.157238e+00   7.063063e+00   7.063063e+00
1.185185e+00   5.213992e+00   5.213992e+00   7.111111e+00   7.111111e+00
1.193193e+00   5.271130e+00   5.271130e+00   7.159159e+00   7.159159e+00
1.201201e+00   5.328653e+00   5.328653e+00   7.207207e+00   7.207207e+00
1.209209e+00   5.386561e+00   5.386561e+00   7.255255e+00   7.255255e+00
1.217217e+00   5.444853e+00   5.444853e+00   7.303303e+00   7.303303e+00
1.225225e+00   5.503531e+00   5.503531e+00   7.351351e+00   7.351351e+00
1.233233e+00   5.562593e+00   5.562593e+00   7.399399e+00   7.399399e+00
1.241241e+00   5.622039e+00   5.622039e+00   7.447447e+00   7.447447e+00
1.249249e+00   5.681871e+00   5.681871e+00   7.495495e+00   7.495495e+00
1.257257e+00   5.742087e+00   5.742087e+00   7.543544e+00   7.543544e+00
1.265265e+00   5.802689e+00   5.802689e+00   7.591592e+00   7.591592e+00
1.273273e+00   5.863674e+00   5.863674e+00   7.639640e+00   7.639640e+00
1.281281e+00   5.925045e+00   5.925045e+00   7.687688e+00   7.687688e+00
1.289289e+00   5.986801e+00   5.986801e+00   7.735736e+00   7.735736e+00
1.297297e+00   6.048941e+00   6.048941e+00   7.783784e+00   7.783784e+00
1.305305e+00   6.111466e+00   6.111466e+00   7.831832e+00   7.831832e+00
1.313313e+00   6.174376e+00   6.174376e+00   7.879880e+00   7.879880e+00
1.321321e+00   6.237670e+00   6.237670e+00   7.927928e+00   7.927928e+00
1.329329e+00   6.301349e+00   6.301349e+00   7.975976e+00   7.975976e+00
1.337337e+00   6.365413e+00   6.365413e+00   8.024024e+00   8.024024e+00
1.345345e+00   6.429862e+00   6.429862e+00   8.072072e+00   8.072072e+00
1.353353e+00   6.494696e+00   6.494696e+00   8.120120e+00   8.120120e+00
1.361361e+00   6.559914e+00   6.559914e+00   8.168168e+00   8.168168e+00
1.369369e+00   6.625517e+00   6.625517e+00   8.216216e+00   8.216216e+00
1.377377e+00   6.691505e+00   6.691505e+00   8.264264e+00   8.264264e+00
1.385385e+00   6.757878e+00   6.757878e+00   8.312312e+00   8.312312e+00
1.393393e+00   6.824635e+00   6.824635e+00   8.360360e+00   8.360360e+00
1.401401e+00   6.891778e+00   6.891778e+00   8.408408e+00   8.408408e+00
1.409409e+00   6.959305e+00   6.959305e+00   8.456456e+00   8.456456e+00
1.417417e+00   7.027216e+00   7.027216e+00   8.504505e+00   8.504505e+00
1.425425e+00   7.095513e+00   7.095513e+00   8.552553e+00   8.552553e+00
1.433433e+00   7.164194e+00   7.164194e+00   8.600601e+00   8.600601e+00
1.441441e+00   7.233260e+00   7.233260e+00   8.648649e+00   8.648649e+00
1.449449e+00   7.302711e+00   7.302711e+00   8.696697e+00   8.696697e+00
1.457457e+00   7.372547e+00   7.372547e+00   8.744745e+00   8.744745e+00
1.465465e+00   7.442767e+00   7.442767e+00   8.792793e+00   8.792793e+00
1.473473e+00   7.513372e+00   7.513372e+00   8.840841e+00   8.840841e+00
1.481481e+00   7.584362e+00   7.584362e+00   8.888889e+00   8.888889e+00
1.489489e+00   7.655737e+00   7.655737e+00   8.936937e+00   8.936937e+00
1.497497e+00   7.727496e+00   7.727496e+00   8.984985e+00   8.984985e+00
1.505506e+00   7.799640e+00   7.799640e+00   9.033033e+00   9.033033e+00
1.513514e+00   7.872169e+00   7.872169e+00   9.081081e+00   9.081081e+00
1.521522e+00   7.945083e+00   7.945083e+00   9.129129e+00   9.129129e+00
1.529530e+00   8.018382e+00   8.018382e+00   9.177177e+00   9.177177e+00
1.537538e+00   8.092065e+00   8.092065e+00   9.225225e+00   9.225225e+00
1.545546e+00   8.166133e+00   8.166133e+00   9.273273e+00   9.273273e+00
1.553554e+00   8.240586e+00   8.240586e+00   9.321321e+00   9.321321e+00
1.561562e+00   8.315424e+00   8.315424e+00   9.369369e+00   9.369369e+00
1.569570e+00   8.390646e+00   8.390646e+00   9.417417e+00   9.417417e+00
1.577578e+00   8.466253e+00   8.466253e+00   9.465465e+00   9.465465e+00
1.585586e+00   8.542245e+00   8.542245e+00   9.513514e+00   9.513514e+00
1.593594e+00   8.618622e+00   8.618622e+00   9.561562e+00   9.561562e+00
1.601602e+00   8.695383e+00   8.695383e+00   9.609610e+00   9.609610e+00
1.609610e+00   8.772529e+00   8.772529e+00   9.657658e+00   9.657658e+00
1.617618e+00   8.850060e+00   8.850060e+00   9.705706e+00   9.705706e+00
1.625626e+00   8.927976e+00   8.927976e+00   9.753754e+00   9.753754e+00
1.633634e+00   9.006277e+00   9.006277e+00   9.801802e+00   9.801802e+00
